FILE FORMAT DESCRIPTION
FORMAT NAME;CURRENT VERSION RELEASE DATE;SOFTWARE COUNT;SOFTWARE;CURRENT FORMAT VERSION;FORMAT LICENSE;LIMITATIONS;PUID;FORMAT HOMEPAGE;MIME TYPE;FORMAT GENRE;FORMAT CREATOR;OPEN FORMAT;FILE EXTENSIONS;VENDORS;STANDARDS
Portable Document Format, Forms Data Format, XML Forms Data Format, ;null, ;4;Xpdf, KPDF, Jfig, Sumatra PDF, ;2, ;;;;;application/x-gzpdf, application/vnd.fdf, application/vnd.adobe.xfdf, ;;;;pdf;<http://dbpedia.org/resource/Adobe_Systems>, ;ISO 32000-1:2008, 000-1:2008, ;
;;56;Kazaa, Emacs, Plone (software), TWiki, Mozilla Composer, WiX, Main//Pyrus DMS, JDOM, Natural Docs, Gobby, NDoc, XWiki, Transmit (FTP client), Celtx, Bluetooth File Exchange, TCPDF, Jfig, ACE (editor), Consultant Plus, SiSU, Haml, Dia (software), Smarty, IBM Lotus Word Pro, Poppler (software), Gambit (Scheme implementation), Papers (software), Haddock (software), Foxit Reader, Microsoft Office Live, Stardock Central, AUCTEX, TeXnicCenter, Microsoft Windows SDK, KnowledgeTree, WinEdt, Okular, Time Matters, ERequirements, Gimmie, PhpDocumentor, ZCubes, OpenKM, Open Notebook Project, Étoilé, GNU Aspell, Adobe FrameMaker, Creative Writer, GNU TeXmacs, Google Docs, ScrollKeeper, Montage (software), Object Desktop, ObjectDock, SubEthaEdit, DownloadStudio, ;;;;;;;;;;doc;;;
TIFF/IT, Tagged Image File Format, Tag Image File Format / Electronic Photography, ;null, ;0;;TIFF/IT, TIFF 6.0, ISO 12234-2:2001, ;;;;;not defined, image/tiff, image/tiff-fx, null, ;;;;tiff;Aldus, now Adobe Systems, ANSI, ISO, <http://dbpedia.org/resource/International_Organization_for_Standardization>, ;ISO 12639, <http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=29377>, ;
JPEG 2000, ;null, ;0;;null, ;;;;;p2, image/jpx, image/jpm, video/mj2, ;;;;jp2;<http://dbpedia.org/resource/Joint_Photographic_Experts_Group>, ;ISO/IEC 15444, ;
;;1;TxtSQL, ;;;;;;;;;;txt;;;
;;1;Apache Continuum, ;;;;;;;;;;xml;;;
;;5;TCP Wrapper, NAnt, DGen, Chord (software), Haddock (software), ;;;;;;;;;;html;;;
JPEG, ;null, ;0;;null, ;;;;;image/jpeg, ;;;;jpg;<http://dbpedia.org/resource/Joint_Photographic_Experts_Group>, ;ISO/IEC 10918, ITU-T T.81, ITU-T T.83, ITU-T T.84, ITU-T T.86, ;
;;1;Gpsd, ;;;;;;;;;;psd;;;
Animated Portable Network Graphics, Portable Network Graphics, ;2008-08-04, 1996-10-01, ;1;Libpng, ;null, ;;;;;null, image/png, ;;;;png;null, PNG Development Group, ;null, ISO/IEC 15948, IETF RFC 2083, ;
Windows Bitmap, ;null, ;1;Xine, ;null, ;;;;;image/x-bmp, ;;;;bmp;null, ;null, ;
Graphics Interchange Format, ;null, ;0;;null, ;;;;;image/gif, ;;;;gif;<http://dbpedia.org/resource/CompuServe>, ;null, ;
;;0;;;;;;;;;;;mp1;;;
;;0;;;;;;;;;;;mp2;;;
;;2;Video Disk Recorder, Sound Juicer, ;;;;;;;;;;mp3;;;
;;0;;;;;;;;;;;mp4;;;
;;0;;;;;;;;;;;m4v;;;
;;0;;;;;;;;;;;m4a;;;
;;1;Mpg123, ;;;;;;;;;;mpg;;;
;;2;Xine, FFmpeg, ;;;;;;;;;;mpeg;;;
;;0;;;;;;;;;;;mpeg1;;;
;;1;Xine, ;;;;;;;;;;mpeg2;;;
;;0;;;;;;;;;;;mpeg3;;;
;;0;;;;;;;;;;;mpeg4;;;
;;0;;;;;;;;;;;flv;;;
;;22;Mixmaster anonymous remailer, ShapeShifter, Apple Software Restore, Cheese (software), CPLEX, KCalc, Bouncy Castle (cryptography), FMOD, Revit, Enlightenment (window manager), IUP (software), Multi Router Traffic Grapher, Gnome BitTorrent, FlexiMusic Wave Editor, Growler Guncam, PostgreSQL, Windows Movie Maker, Netscape 6, Corel Presentations, Digital Molecular Matter, Sumatra PDF, Perl Shell, ;;;;;;;;;;ply;;;
;;11;Squid (software), CDemu, Gpsd, Berkeley Automounter, Xinetd, GNOME Keyring, DiskImageMounter, Darwin Calendar Server, GNU Zebra, UnrealIRCd, Point-to-Point Protocol daemon, ;;;;;;;;;;dae;;;

SOFTWARE DESCRIPTION
SOFTWARE NAME;SOFTWARE LICENSE;SOFTWARE HOMEPAGE;GENRE;OPERATING SYSTEM;PROTOCOLS;PROGRAMMING LANGUAGE;SOFTWARE LATEST VERSION;SOFTWARE RELEASE DATE
Haddock (software);<http://dbpedia.org/resource/BSD_licenses>, ;<http://haskell.org/haddock/>, ;;<http://dbpedia.org/resource/X86>, <http://dbpedia.org/resource/PowerPC>, ;;<http://dbpedia.org/resource/Haskell_%28programming_language%29>, ;;;
Foxit Reader;<http://dbpedia.org/resource/Freeware>, <http://dbpedia.org/resource/Proprietary_software>, ;<http://www.foxitsoftware.com/>, ;;<http://dbpedia.org/resource/Mobile_device>, <http://dbpedia.org/resource/Desktop_computer>, ;;null, ;;;
Microsoft Office Live;;;;null, ;;null, ;;;
Stardock Central;<http://dbpedia.org/resource/Freeware>, <http://dbpedia.org/resource/Proprietary_software>, ;<http://www.stardock.com/products/sdcentral/>, ;;null, ;;null, ;;;
AUCTEX;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://www.gnu.org/software/auctex/>, ;;null, ;;null, ;;;
TeXnicCenter;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://www.texniccenter.org>, ;;null, ;;<http://dbpedia.org/resource/C%2B%2B>, ;;;
Microsoft Windows SDK;Various, ;<http://msdn.microsoft.com/windows/bb980924.aspx>, ;;null, ;;null, ;;;
KnowledgeTree;SaaS Edition - Proprietary, Community Edition - GPLv3, Commercial Edition - Proprietary, ;<http://www.knowledgetree.com>, ;;null, ;;PHP, AJAX enabled, ;;;
WinEdt;<http://dbpedia.org/resource/Shareware>, ;<http://www.winedt.com>, ;;null, ;;null, ;;;
Okular;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://okular.kde.org/>, ;;null, ;;null, ;;;
Time Matters;Proprietary, ;<http://www.timematters.com/>, ;;null, ;;null, ;;;
ERequirements;null, ;<http://www.erequirements.com>, ;;null, ;;null, ;;;
Gimmie;<lic_License>, ;<http://www.beatniksoftware.com/gimmie/Main_Page>, ;;null, ;;null, ;;;
PhpDocumentor;<http://dbpedia.org/resource/GNU_Lesser_General_Public_License>, ;<http://www.phpdoc.org/>, ;;<http://dbpedia.org/resource/Web_application>, ;;<http://dbpedia.org/resource/PHP>, ;;;
ZCubes;null, ;<http://www.zcubes.com>, ;;null, ;;null, ;;;
OpenKM;<neral_Public_License>, ;<http://www.openkm.com>, ;;null, ;;<http://dbpedia.org/resource/Java>, ;;;
Open Notebook Project;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://opennotebook.tokenbay.co.uk>, ;;null, ;;null, ;;;
Étoilé;<http://dbpedia.org/resource/BSD_licenses>, <http://dbpedia.org/resource/MIT_License>, ;<http://www.etoileos.com/>, ;;null, ;;null, ;;;
GNU Aspell;<http://dbpedia.org/resource/GNU_Lesser_General_Public_License>, ;null, ;;null, ;;null, ;;;
Adobe FrameMaker;<http://dbpedia.org/resource/Software_license_agreement>, <http://dbpedia.org/resource/Proprietary_software>, ;<http://www.adobe.com/products/framemaker>, ;;null, ;;null, ;;;
Creative Writer;<http://dbpedia.org/resource/Proprietary_EULA>, ;null, ;;null, ;;null, ;;;
GNU TeXmacs;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://www.texmacs.org>, ;;null, ;;null, ;;;
Google Docs;;;;Mozilla Firefox 2+, Safari 3+, hrome 1+, Google Chrome 1+, Internet Explorer 6+, ;;front end: JavaScript, back end: Java, ;;;
ScrollKeeper;null, ;<http://scrollkeeper.sourceforge.net/>, ;;null, ;;<http://dbpedia.org/resource/C_%28programming_language%29>, ;;;
Montage (software);;;;null, ;;null, ;;;
Object Desktop;;;;;;;;;
ObjectDock;;;;;;;;;
SubEthaEdit;;;;;;;;;
DownloadStudio;;;;;;;;;
TxtSQL;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://txtsql.com/>, ;;null, ;;<http://dbpedia.org/resource/PHP>, ;;;
Apache Continuum;;;;null, ;;<http://dbpedia.org/resource/Java_%28programming_language%29>, ;;;
TCP Wrapper;<http://dbpedia.org/resource/BSD_licenses>, ;<ftp://ftp.porcupine.org/pub/security/index.html>, ;;null, ;;null, ;;;
NAnt;<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://nant.sourceforge.net/>, ;;null, ;;<http://dbpedia.org/resource/C_Sharp_%28programming_language%29>, ;;;
DGen;<http://dbpedia.org/resource/BSD_licenses>, ;<http://tamentis.com/projects/dgen/>, ;;null, ;;<http://dbpedia.org/resource/C_%28programming_language%29>, <http://dbpedia.org/resource/Assembly_language>, <http://dbpedia.org/resource/C%2B%2B>, ;;;
Chord (software);<http://dbpedia.org/resource/GNU_General_Public_License>, ;<http://www.harmony-central.com/Software/Unix/>, ;;null, ;;null, ;;;
