FILE FORMAT DESCRIPTION;;;;;;;;;;;;;;;
FORMAT NAME;CURRENT VERSION RELEASE DATE;SOFTWARE COUNT;SOFTWARE;CURRENT FORMAT VERSION;FORMAT LICENSE;LIMITATIONS;PUID;FORMAT HOMEPAGE;MIME TYPE;FORMAT GENRE;FORMAT CREATOR;OPEN FORMAT;FILE EXTENSIONS;VENDORS;STANDARDS
VENDOR DESCRIPTION;;;;;;;;;;;;;;;
ORGANISATION NAME;NUMBER OF EMPLOYEES;BUSINESS STATUS;CURRENT Ffma;STOCK ISSUES;RANKED LIST;COUNTRY;FOUNDATION DATE;HOMEPAGE;;;;;;;
Adobe Systems;"number: [6068], year: [""2007-01""], #number: [8660], year: [""2009""], #";"amount: [3.57989E9], currency: [""US$""], valid_date: [""2008-11-28""], #amount: [2.5753E9], currency: [""US$""], valid_date: [""2006-12-01""], #";"amount: [2.7351E9], currency: [""US$""], valid_date: [""2008-11-28""], #";"name: [""ADOBE SYSTEMS INC Common Stock""], #name: [""ASSECO BUSINESS SOLUTIONS SA Common Stock""], #name: [""ADOBE SYSTEMS INC Common Stock""], #name: [""ASSECO BUSINESS SOLUTIONS SA Common Stock""], #name: [""ADOBE SYSTEMS INC Common Stock""], #name: [""ASSECO BUSINESS SOLUTIONS SA Common Stock""], #";"list: [""Fortune 100 Best Companies to Work For""], rank: [11], year: [""2009""], #list: [""Fortune 1000""], rank: [601], year: [""2009""], #list: [""Fortune 1000""], rank: [651], year: [""2008""], #list: [""Fortune 1000""], rank: [817], year: [""2006""], #";;1982-12, ;;;;;;;;
Frame Technology Corporation;;;;;;;;;;;;;;;
Microsoft;"number: [89809], year: [""2008""], #";"amount: [5.8437E10], currency: [""US$""], valid_date: [""2009-06-30""], #amount: [6.042E10], currency: [""US$""], valid_date: [""2008""], #amount: [1.9747E10], currency: [""US$""], valid_date: [""2000""], #amount: [4.4282E10], currency: [""US$""], valid_date: [""2007""], #";"amount: [4.928E10], currency: [""US$""], valid_date: [""2009-06-30""], #";"name: [""MICROSOFT CORP Common Stock""], #name: [""MICROSOFT CORP-T Common Stock""], #name: [""MICROSOFT CORP Common Stock""], #name: [""MICROSOFT CORP Common Stock""], #name: [""MICROSOFT CORP Common Stock""], #name: [""MICROSOFT CORP Common Stock""], #name: [""MICROSOFT CORP Common Stock""], #name: [""MICROSOFT CORP Common Stock""], #name: [""MICROSOFT CORP Common Stock""], #";"list: [""Fortune 100 Best Companies to Work For""], rank: [38], year: [""2009""], #list: [""Fortune 1000""], rank: [35], year: [""2009""], #list: [""Fortune 1000""], rank: [44], year: [""2008""], #list: [""Fortune 1000""], rank: [48], year: [""2006""], #list: [""Fortune 500""], rank: [84], year: [""2000""], #list: [""Fortune 1000""], rank: [49], year: [""2007""], #list: [""Fortune Global 500""], rank: [117], year: [""2009""], #";;1975-04-04, ;;;;;;;;
Apple Inc.;"number: [20186], year: [""2006-09-30""], #";"amount: [3.6537E10], currency: [""US$""], valid_date: [""2009-09-26""], #amount: [2.4006E10], currency: [""US$""], valid_date: [""2007-09-29""], #amount: [5.284E9], currency: [""US$""], valid_date: [""1990""], #amount: [1.9315E10], currency: [""US$""], valid_date: [""2007""], #";"amount: [3.6265E10], currency: [""US$""], valid_date: [""2009-09-26""], #";"name: [""APPLE INC Common Stock""], #name: [""ADVANCED POWER COMPONENTS Common Stock""], #name: [""ASSECO POLAND SA Common Stock""], #name: [""APPLE INC Common Stock""], #name: [""ASSECO POLAND SA Common Stock""], #name: [""ADVANCED POWER COMPONENTS Common Stock""], #name: [""APPLE INC Common Stock""], #name: [""APPLE INC Common Stock""], #name: [""APPLE INC Common Stock""], #name: [""APPLE INC Common Stock""], #name: [""ADVANCED POWER COMPONENTS Common Stock""], #name: [""APPLE INC Common Stock""], #name: [""APPLE INC Common Stock""], #name: [""APPLE INC Common Stock""], #";"list: [""Fortune 1000""], rank: [71], year: [""2009""], #list: [""Fortune 1000""], rank: [103], year: [""2008""], #list: [""Fortune 1000""], rank: [159], year: [""2006""], #list: [""Fortune 500""], rank: [96], year: [""1990""], #list: [""Fortune 1000""], rank: [121], year: [""2007""], #list: [""Fortune Global 500""], rank: [253], year: [""2009""], #";;1976-04-01, ;;;;;;;;
Opera Software;"number: [757], year: [""2009-12-31""], #";;;;;;1995;;;;;;;;
Mozilla Foundation;;;;;;;2003-07-15, ;;;;;;;;
World Wide Web Consortium;;;;;;;1994-10, ;;;;;;;;
Institut national de recherche en informatique et en automatique;;;;;;;;;;;;;;;
Google;"number: [10000], year: [""2006""], #number: [12238], year: [""2007-03-31""], #number: [13748], year: [""2007-06-30""], #number: [24400], year: [""2009-01-08""], #";"amount: [2.179555E10], currency: [""US$""], valid_date: [""2008-12-31""], #amount: [1.060492E10], currency: [""US$""], valid_date: [], #amount: [1.06049E10], currency: [""US$""], valid_date: [""2006-12-31""], #";"amount: [2.017818E10], currency: [""US$""], valid_date: [""2008-12-31""], #";"name: [""GOOGLE INC-CL A Common Stock""], #name: [""GOOGLE INC-CL A Common Stock""], #name: [""GOOGLE INC-CL A Common Stock""], #name: [""GOOGLE INC-CL A Common Stock""], #name: [""GOOGLE INC-CL A Common Stock""], #name: [""GOOGLE INC-CL A Common Stock""], #";"list: [""Fortune 100 Best Companies to Work For""], rank: [4], year: [""2009""], #list: [""Fortune 1000""], rank: [117], year: [""2009""], #list: [""Fortune 1000""], rank: [150], year: [""2008""], #list: [""Fortune 1000""], rank: [353], year: [""2006""], #list: [""Fortune Global 500""], rank: [423], year: [""2009""], #";;1998-09-07, ;;;;;;;;
The Omni Group;;;;;;;1989;;;;;;;;
Corel;;"amount: [2.6823E8], currency: [""US$""], valid_date: [""2008-11-30""], #amount: [1.772E8], currency: [""US$""], valid_date: [""2006-11-30""], #";"amount: [9.453E7], currency: [""US$""], valid_date: [""2008-11-30""], #";"name: [""COREL CORP Common Stock""], #";;;1985;;;;;;;;
CompuServe;;;;;;;1969;;;;;;;;
Nullsoft;;;;;;;1997;;;;;;;;
